labels,text
en,"Hi"
en,"Hello world"
en,"How are you doing today?"
en,"The quick brown fox jumps over the lazy dog in the park."
en,"Artificial intelligence is revolutionizing the way we work and live in modern society. Machine learning algorithms can process vast amounts of data to identify patterns and make predictions that were previously impossible for humans to achieve."
es,"Hola"
es,"¿Cómo estás?"
es,"Me gusta mucho la música española."
es,"Ayer fui al mercado para comprar verduras frescas y frutas de temporada."
es,"La literatura española tiene una rica tradición que se extiende desde el Cantar de Mio Cid hasta los escritores contemporáneos como Isabel Allende y Mario Vargas Llosa. Esta tradición literaria ha influenciado profundamente la cultura hispanoamericana y continúa siendo una fuente de inspiración para nuevas generaciones de escritores."
fr,"Salut"
fr,"Comment allez-vous?"
fr,"J'aime beaucoup lire des livres français."
fr,"Hier, je suis allé au marché acheter des légumes frais et des fruits de saison."
fr,"La cuisine française est reconnue mondialement pour sa sophistication et sa diversité. Des plats traditionnels comme le coq au vin et la bouillabaisse aux innovations culinaires modernes, la gastronomie française continue d'évoluer tout en préservant ses racines historiques et culturelles profondes."
de,"Hallo"
de,"Wie geht es Ihnen?"
de,"Ich lese gerne deutsche Literatur in meiner Freizeit."
de,"Gestern bin ich zum Markt gegangen, um frisches Gemüse und Obst zu kaufen."
de,"Die deutsche Sprache hat eine komplexe aber logische Grammatikstruktur mit vier Fällen und verschiedenen Wortstellungsregeln. Diese Eigenschaften machen Deutsch zu einer präzisen Sprache, die besonders gut für wissenschaftliche und technische Texte geeignet ist, obwohl sie für Lernende anfangs herausfordernd sein kann."
it,"Ciao"
it,"Come stai oggi?"
it,"Mi piace molto leggere romanzi italiani la sera."
it,"Ieri sono andato al mercato per comprare verdure fresche e frutta di stagione."
it,"L'Italia è famosa in tutto il mondo per la sua cucina autentica e i suoi sapori tradizionali. Dalla pasta fatta in casa nel nord alle specialità di pesce del sud, ogni regione italiana offre piatti unici che riflettono la storia e la cultura locale, creando una diversità culinaria straordinaria."
pt,"Olá"
pt,"Como você está?"
pt,"Gosto muito de ler literatura brasileira nos fins de semana."
pt,"Ontem fui ao mercado para comprar legumes frescos e frutas da estação."
pt,"O português é falado por mais de 250 milhões de pessoas ao redor do mundo, sendo a língua oficial em nove países. Esta diversidade geográfica criou variações interessantes no idioma, desde o português europeu até as variantes brasileira, africana e asiática, cada uma com suas próprias características culturais."
nl,"Hallo"
nl,"Hoe gaat het met je?"
nl,"Ik lees graag Nederlandse literatuur in mijn vrije tijd."
nl,"Gisteren ging ik naar de markt om verse groenten en seizoensfruit te kopen."
nl,"Nederland is bekend om zijn innovatieve aanpak van waterbeheer en duurzame ontwikkeling. Het land heeft eeuwenlange ervaring met het leven onder de zeespiegel en heeft geavanceerde technieken ontwikkeld om het water te beheersen, wat een model is geworden voor andere landen die te maken hebben met klimaatverandering."
ru,"Привет"
ru,"Как дела?"
ru,"Мне очень нравится читать русскую литературу по вечерам."
ru,"Вчера я ходил на рынок покупать свежие овощи и сезонные фрукты."
ru,"Русская литература имеет богатую традицию, которая включает в себя произведения таких великих писателей, как Толстой, Достоевский и Чехов. Эти авторы исследовали глубокие философские темы и человеческую природу, создавая произведения, которые до сих пор остаются актуальными и влиятельными в мировой литературе."
pl,"Cześć"
pl,"Jak się masz?"
pl,"Bardzo lubię czytać polską literaturę w wolnym czasie."
pl,"Wczoraj poszedłem na targ kupić świeże warzywa i owoce sezonowe."
pl,"Polska ma bogatą historię kulturową, która obejmuje wiele znaczących osiągnięć w literaturze, muzyce i sztuce. Od średniowiecznych kronik po współczesną poezję, polski wkład w kulturę europejską jest niepodważalny, a autorzy tacy jak Czesław Miłosz i"